Gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000100504.16	-2.37695613882789	8.57799285800865	-9.70454369643777	6.49652476314788e-09	9.41216507684865e-05	10.6153696818087
ENSG00000257335.8	-3.15730969983207	7.86946679827194	-9.23918051052381	1.44080049165294e-08	0.000104371587615339	9.8685991663812
ENSG00000115828.16	-2.32903097320549	6.98237355226334	-8.9140768241406	2.55295450297017e-08	0.000115546021162028	9.33089380020158
ENSG00000111261.13	-2.73652250359631	5.65728680171371	-8.64948374535319	4.10652383635491e-08	0.000115546021162028	8.80666834981003
ENSG00000135636.13	-2.81082342870037	8.69331918747449	-8.60354052347423	4.4638724111633e-08	0.000115546021162028	8.79485932798736
ENSG00000153317.14	-1.55027699451856	7.21755141223396	-8.19924178543372	9.41237044898195e-08	0.000115546021162028	8.0920201243152
ENSG00000151948.11	-2.13932104288244	7.44989226457065	-8.18449026745357	9.67598216415935e-08	0.000115546021162028	8.06420379230994
ENSG00000184678.10	-1.96249402343873	5.44600243070797	-8.18117616082833	9.73625238263057e-08	0.000115546021162028	8.01505236476872
ENSG00000106780.8	-1.75743752163323	8.58675512829373	-8.17491499572509	9.8511829766921e-08	0.000115546021162028	8.04318478452195
ENSG00000136040.8	-1.93764056443708	8.64102291495803	-8.12281132597965	1.08639409634387e-07	0.000115546021162028	7.94930577563261
ENSG00000151726.13	-2.61984945030327	9.88260030893954	-8.12238013750286	1.08727586725745e-07	0.000115546021162028	7.93534223418622
ENSG00000140563.14	-1.88735826216714	6.64118746847045	-8.1104839545696	1.11189833648365e-07	0.000115546021162028	7.92902541136386
ENSG00000115590.13	-2.93342634182975	6.04027506802423	-8.07836872959965	1.18130026299872e-07	0.000115546021162028	7.83702314513097
ENSG00000173597.8	-2.0008687429723	6.5332061060701	-8.04881983823248	1.24912675266436e-07	0.000115546021162028	7.81506224411769
ENSG00000062282.14	-2.28038047676968	7.53644575580059	-8.01979065766011	1.31969965012424e-07	0.000115546021162028	7.76618561704693
ENSG00000111052.7	-2.19463621842231	5.55874789339857	-8.01001467213149	1.34438634030636e-07	0.000115546021162028	7.70388640370381
ENSG00000196663.15	-2.17047322337656	6.83203392924511	-7.97526649240934	1.43607885399684e-07	0.000115546021162028	7.68339426740506
ENSG00000146094.14	-1.9796741628797	8.64528407613863	-7.94061740260474	1.53398125881517e-07	0.000115546021162028	7.61879165782196
ENSG00000059804.15	-2.10766543683662	8.534422788597	-7.89735332152128	1.66602096030659e-07	0.000115546021162028	7.53974760873017
ENSG00000103569.9	-2.34844144170837	9.71663422436653	-7.89606044309146	1.67014338119054e-07	0.000115546021162028	7.52980320987062
ENSG00000137177.19	-1.82316043304865	5.98183111481195	-7.8695241046283	1.75713252284134e-07	0.000115546021162028	7.48053904092137
ENSG00000135842.16	-2.09759142527862	9.05202615664638	-7.78761862769238	2.05646970198501e-07	0.000115546021162028	7.33601758195568
ENSG00000100985.7	-3.50270531478595	7.43425502347611	-7.77898022770176	2.09098220630883e-07	0.000115546021162028	7.31991326298468
ENSG00000056558.10	1.43327354072143	6.55226814022384	7.7655246694761	2.14594042141777e-07	0.000115546021162028	7.29691535798553
ENSG00000133318.13	-1.66359901453283	8.58287286516798	-7.73603298553057	2.27169492797897e-07	0.000115546021162028	7.24265256808025
ENSG00000168461.12	-1.7636399404677	7.69990326615824	-7.72211269447669	2.33368066849959e-07	0.000115546021162028	7.21868724342226
ENSG00000158470.5	-2.13638191433751	7.11662744285842	-7.71430230654602	2.36922431344645e-07	0.000115546021162028	7.20357279585274
ENSG00000166825.13	-2.32159591980394	8.51433303103598	-7.71107993704732	2.38405168725423e-07	0.000115546021162028	7.19616681785155
ENSG00000165178.9	-1.76102540547092	7.43523730801945	-7.70559207020185	2.40952511324501e-07	0.000115546021162028	7.18787303330826
ENSG00000100485.11	-1.2419845541688	6.53491578119538	-7.69417481941711	2.4634287847265e-07	0.000115546021162028	7.16634975162749
ENSG00000169508.6	1.58345901460984	5.50151341813117	7.69231223280399	2.47234032028082e-07	0.000115546021162028	7.12905618750088
