SampleAC1	SampleAC2	SampleAC3	SampleAC4	SampleAD1	SampleAD2	SampleAD3	SampleAD4	SampleBC1	SampleBC2	SampleBC3	SampleBC4	SampleBD1	SampleBD2	SampleBD3	SampleBD4
ENSG00000223972.5	3	1	0	0	0	0	0	0	2	0	0	0	0	5	0	0
ENSG00000227232.5	20	7	15	10	7	9	15	26	6	10	6	6	14	10	4	4
ENSG00000278267.1	1	2	1	1	0	1	2	4	0	0	0	0	0	0	1	0
ENSG00000243485.5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000284332.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237613.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000268020.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000240361.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000186092.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000238009.6	1	0	4	2	10	1	3	9	3	8	4	3	1	0	1	1
ENSG00000239945.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233750.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000268903.1	107	12	127	35	168	57	114	177	134	159	122	80	73	118	117	53
ENSG00000269981.1	90	10	92	35	146	44	91	133	103	102	104	81	82	140	80	54
ENSG00000239906.1	2	0	0	0	1	0	4	4	1	1	0	2	0	0	1	0
ENSG00000241860.6	10	1	10	3	25	4	21	26	8	13	14	8	9	16	4	5
ENSG00000222623.1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
ENSG00000241599.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000279928.2	2	1	0	1	0	0	0	0	1	0	0	2	2	7	0	0
ENSG00000279457.4	28	16	33	24	27	15	30	15	11	12	10	6	15	16	5	12
ENSG00000273874.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228463.10	3	1	9	4	13	3	5	1	3	4	1	7	0	1	5	1
ENSG00000236679.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000236601.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237094.12	32	4	37	10	64	18	52	34	32	33	51	33	26	36	31	20
ENSG00000269732.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284733.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233653.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000250575.1	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0
ENSG00000278757.1	0	0	0	0	4	0	1	0	0	1	2	2	0	0	0	0
ENSG00000230021.10	8	3	1	1	0	2	3	2	1	2	1	1	0	0	1	0
ENSG00000235146.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225972.1	0	0	0	1	2	0	0	0	0	0	0	0	0	1	1	0
ENSG00000225630.1	8	12	4	5	4	8	0	3	2	9	2	7	10	3	2	9
ENSG00000237973.1	58	15	13	34	28	26	11	85	17	22	16	10	24	28	17	22
ENSG00000278791.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229344.1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0
ENSG00000240409.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000248527.1	536	256	223	343	399	310	127	241	150	318	219	269	331	417	238	270
ENSG00000198744.5	0	0	1	0	2	0	0	0	1	0	5	0	0	0	15	0
ENSG00000268663.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284662.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229376.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228327.3	43	5	28	14	56	18	36	20	44	30	29	30	13	13	10	14
ENSG00000223181.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229905.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237491.8	3	5	9	1	1	2	2	2	2	3	2	2	2	0	2	0
ENSG00000285268.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230092.7	3	1	1	0	3	1	3	1	1	0	1	0	0	0	0	1
ENSG00000177757.2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000228794.8	27	26	18	19	15	11	32	17	8	15	10	10	7	12	12	8
ENSG00000225880.5	3	1	7	1	3	0	12	2	2	2	0	1	1	0	1	1
ENSG00000230368.2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ENSG00000234711.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000283040.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000272438.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230699.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000241180.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000223764.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000187634.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000188976.10	153	62	70	71	109	76	134	88	41	63	30	49	40	70	86	45
ENSG00000187961.13	34	14	22	21	21	13	29	22	7	18	7	8	14	17	17	10
ENSG00000187583.10	6	2	4	4	0	2	1	2	1	2	0	1	4	4	5	1
ENSG00000187642.9	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000272512.1	3	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000188290.10	7	1	4	6	10	2	3	2	3	1	0	1	4	2	9	2
ENSG00000187608.9	107	18	103	22	41	25	34	33	13	15	28	25	11	145	32	70
ENSG00000231702.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224969.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000188157.14	14	5	14	7	1	6	12	11	3	6	4	4	3	17	2	5
ENSG00000242590.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000217801.9	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
ENSG00000273443.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237330.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000131591.17	39	14	27	16	22	16	31	13	11	16	3	8	9	15	9	7
ENSG00000285812.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000223823.1	4	0	2	2	0	3	1	3	3	0	0	0	0	1	0	0
ENSG00000207730.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000207607.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000198976.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000272141.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000205231.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000162571.13	0	0	0	1	1	0	2	0	1	0	0	0	0	0	0	0
ENSG00000186891.13	17	8	5	7	8	7	24	7	5	4	7	4	0	17	1	3
ENSG00000186827.10	33	12	17	20	11	6	27	8	6	11	8	3	5	12	4	5
ENSG00000078808.16	365	150	242	199	355	181	357	271	132	234	140	144	131	186	182	143
ENSG00000176022.5	38	24	30	27	42	23	49	29	7	23	17	17	25	25	23	17
ENSG00000184163.3	1	1	1	0	0	1	0	1	0	1	0	1	0	1	2	0
ENSG00000260179.1	0	0	0	0	2	1	2	0	2	2	0	0	1	0	0	1
ENSG00000160087.20	157	62	117	85	141	84	155	116	64	122	72	57	47	92	80	72
ENSG00000230415.1	0	1	2	2	0	2	1	2	0	0	0	0	1	1	0	0
ENSG00000162572.20	14	6	9	4	4	5	4	6	3	1	3	1	1	2	1	0
ENSG00000131584.18	165	62	126	105	118	78	155	95	55	72	63	42	60	92	90	40
ENSG00000278073.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000169972.11	18	5	11	9	23	9	18	18	10	14	6	7	6	13	10	5
ENSG00000127054.20	240	72	106	131	149	113	218	147	59	110	75	58	78	98	91	53
ENSG00000283712.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000240731.1	9	1	2	6	3	4	5	3	5	2	0	0	2	2	3	0
ENSG00000224051.6	105	27	51	44	69	43	52	57	23	35	17	22	12	48	28	31
ENSG00000169962.4	7	1	2	2	4	1	6	2	1	3	2	2	1	0	1	2
ENSG00000107404.19	94	33	65	67	50	34	83	50	17	28	11	21	30	33	34	15
ENSG00000284372.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000162576.16	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0
ENSG00000175756.13	104	43	79	62	102	55	96	90	55	92	68	54	63	68	63	73
ENSG00000223663.2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000221978.11	511	188	309	247	317	212	533	279	120	193	145	132	170	207	220	102
ENSG00000224870.6	48	17	30	33	47	34	57	36	14	30	14	19	15	13	30	20
ENSG00000242485.5	86	38	54	57	72	45	105	59	23	40	26	22	31	32	53	26
ENSG00000264293.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000272455.1	6	3	11	7	13	7	15	11	2	6	1	11	5	4	5	2
ENSG00000235098.8	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0
ENSG00000225905.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000205116.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225285.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000179403.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000215915.9	5	0	1	4	3	2	3	0	0	2	3	2	0	1	1	2
ENSG00000160072.19	95	31	48	45	34	36	73	34	15	30	18	29	29	30	19	26
ENSG00000284740.1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000197785.13	32	21	19	17	15	22	35	20	18	10	9	16	11	16	16	4
ENSG00000205090.8	1	0	0	1	3	0	1	1	2	2	1	1	0	2	0	0
ENSG00000160075.11	321	108	213	167	299	163	317	230	115	197	135	114	133	172	180	138
ENSG00000215014.5	1	0	3	1	4	2	2	2	1	2	3	0	0	2	1	0
ENSG00000274481.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228594.3	7	6	9	9	3	5	9	11	3	11	1	2	5	5	10	5
ENSG00000272106.1	12	3	9	11	9	7	19	11	0	2	0	4	6	5	2	3
ENSG00000197530.12	79	29	53	51	51	41	107	61	33	62	41	46	39	53	42	33
ENSG00000189409.13	6	0	2	1	1	0	0	0	0	1	0	1	0	2	1	0
ENSG00000248333.8	156	56	85	73	138	74	130	68	36	62	68	101	95	86	79	36
ENSG00000272004.1	2	0	1	0	1	1	1	0	0	0	0	0	3	0	0	0
ENSG00000189339.11	432	200	295	264	249	218	663	236	188	149	166	110	105	178	178	107
ENSG00000269737.2	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0
ENSG00000215914.4	0	0	0	0	0	0	2	0	1	1	0	0	0	0	2	0
ENSG00000008128.22	8	1	3	1	4	2	5	6	3	1	3	3	4	3	2	2
ENSG00000268575.1	26	18	16	9	17	6	31	12	9	19	1	8	7	8	8	6
ENSG00000227775.3	0	0	0	0	0	1	0	1	0	1	0	0	0	2	0	0
ENSG00000215790.7	180	65	87	76	106	92	209	112	61	234	39	101	93	64	57	29
ENSG00000008130.15	746	209	730	483	1321	564	916	708	708	857	725	790	701	866	740	543
ENSG00000078369.17	884	341	589	505	1004	559	901	726	437	658	554	497	506	651	572	350
ENSG00000231050.1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000169885.9	4	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0
ENSG00000178821.12	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
ENSG00000142609.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233542.1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000187730.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000226969.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000067606.16	62	17	31	27	44	28	52	32	31	32	13	34	46	27	19	16
ENSG00000271806.1	0	0	1	0	4	1	3	0	0	1	1	0	0	2	1	0
ENSG00000182873.5	6	1	2	3	4	1	6	6	3	5	2	0	1	0	3	2
ENSG00000162585.16	95	27	50	57	64	37	86	62	39	50	30	20	32	42	31	32
ENSG00000234396.3	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000157933.9	280	112	175	137	193	162	212	117	108	140	137	126	179	205	120	79
ENSG00000116151.13	6	2	6	9	5	2	14	4	4	3	2	6	1	8	4	4
ENSG00000272161.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000269896.2	5	1	5	2	1	5	9	8	2	3	1	1	3	4	4	0
ENSG00000272420.1	4	1	0	1	3	0	1	0	1	0	0	1	0	1	1	0
ENSG00000157916.19	377	163	277	222	350	189	461	315	161	245	195	141	123	189	228	144
ENSG00000157911.10	19	5	16	14	16	14	19	20	11	14	7	10	9	14	7	9
ENSG00000149527.17	150	29	24	36	31	16	33	12	12	13	12	6	19	21	2	7
ENSG00000224387.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229393.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000157881.13	85	31	65	53	75	43	91	42	26	39	43	32	36	49	45	39
ENSG00000197921.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000272449.2	15	8	14	11	20	6	17	8	3	7	9	4	3	6	6	6
ENSG00000238164.6	61	14	18	15	22	16	29	10	16	16	10	15	20	12	9	10
ENSG00000157873.17	495	160	385	308	435	224	541	337	186	328	217	222	221	331	294	258
ENSG00000225931.3	4	0	0	0	0	1	1	3	0	3	3	1	3	3	0	2
ENSG00000228037.1	10	2	2	2	4	4	2	6	1	4	1	2	2	0	0	2
ENSG00000157870.15	62	32	43	42	44	43	54	49	13	23	19	23	21	20	17	15
ENSG00000142606.15	0	0	0	3	4	3	1	0	0	3	1	1	1	1	0	2
ENSG00000237058.1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000215912.12	8	4	1	3	3	2	6	3	2	5	0	1	4	1	1	1
ENSG00000285945.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000283259.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233234.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000231630.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284745.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000169717.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000177133.10	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000142611.16	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000283572.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000226286.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000279839.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000272235.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000130762.14	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000272088.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000162591.15	102	28	62	56	104	53	120	48	49	26	69	34	41	57	46	33
ENSG00000207776.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000238260.1	4	1	3	6	6	2	6	5	2	4	3	2	5	4	1	1
ENSG00000158109.14	186	64	126	108	217	120	134	143	103	142	152	105	129	127	109	87
ENSG00000116213.15	83	34	69	41	73	37	88	55	28	57	35	30	29	52	42	24
ENSG00000078900.14	2	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0
ENSG00000227589.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000235131.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000227372.12	67	42	34	39	42	25	73	46	19	26	19	22	17	38	37	21
ENSG00000276189.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000162592.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000235169.8	1	45	19	1	0	7	4	2	16	36	9	15	41	64	5	28
ENSG00000130764.9	127	38	72	66	91	66	101	70	45	56	40	28	48	56	63	30
ENSG00000266075.2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000272153.1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
ENSG00000116198.12	85	40	50	41	75	57	109	60	37	38	32	28	34	34	29	19
ENSG00000169598.15	50	20	34	31	25	15	53	29	14	15	12	8	8	19	14	6
ENSG00000198912.10	60	20	35	43	57	30	59	41	16	32	25	9	21	39	33	20
